timestamp,id,project,status,correct,final_answer,tokens,cost_usd,used_help,elapsed_s
2026-08-20T20:58:11+00:00,SC_FRAMEWORK_001,Papers\07-SC-Framework,ok,True,5000,423043,0.1258,yes,229.3
2026-08-20T21:01:01+00:00,SEGMA_001,Papers\08-SEGMA,no_chain,,,,,,170.2
2026-08-20T21:07:59+00:00,SEGMA_001,Papers\08-SEGMA,no_chain,,,,,,130.7
2026-08-20T21:14:38+00:00,SENTIEON_CLI_001,Papers\04-sentieon-cli,ok,True,CONSERVATIVE,1983061,0.5494,yes,398.7
2026-08-20T21:23:58+00:00,SAM2_001,Papers\17-sam2,no_chain,,,,,,560.5
2026-08-20T21:39:48+00:00,SEGMA_001,Papers\08-SEGMA,recovered,True,187 amino acids,313331,0.1006,yes,0.0
2026-08-20T21:39:48+00:00,SAM2_001,Papers\17-sam2,recovered,False,[UNCERTAIN — The worker produced a concrete result but multiple unresolved gap,1076619,0.3127,yes,0.0
2026-08-20T21:39:48+00:00,SAM2_002,Papers\17-sam2,recovered,False,[UNCERTAIN — High-severity environment and artifact gaps (missing local SAM2 c,1183720,0.3419,yes,0.0
2026-08-20T21:39:48+00:00,TABPFN_001,Papers\18-tabpfn,recovered,False,EXECUTION_REQUIRED — gate blocked: A high-severity execution_gap (missing 'tor,1048944,0.3015,yes,0.0
2026-08-20T21:39:48+00:00,TABPFN_002,Papers\18-tabpfn,recovered,False,EXECUTION_REQUIRED — gate blocked: A high-severity execution_gap (missing PyTo,929815,0.2599,yes,0.0
2026-08-20T21:39:48+00:00,CYTEONTO_001,Papers\01-CyteOnto,recovered,True,4,175289,0.0595,yes,0.0
2026-08-20T21:39:48+00:00,CYTEONTO_002,Papers\01-CyteOnto,recovered,True,stem cell,183012,0.0607,yes,0.0
2026-08-20T21:39:48+00:00,CYTEONTO_003,Papers\01-CyteOnto,recovered,True,ovum,106862,0.0396,yes,0.0
2026-08-20T21:39:48+00:00,GWAS_EPISTASIS_BIAS_001,Papers\02-GWAS-Epistasis-Bias,recovered,True,5.03698201089221e-08,273934,0.0864,yes,0.0
2026-08-20T21:39:48+00:00,GWAS_EPISTASIS_BIAS_002,Papers\02-GWAS-Epistasis-Bias,recovered,True,[UNCERTAIN — The worker reports a successful run yielding 0 significant result,506457,0.1715,yes,0.0
2026-08-20T21:39:48+00:00,GWAS_EPISTASIS_BIAS_003,Papers\02-GWAS-Epistasis-Bias,recovered,True,0.79,480072,0.1583,yes,0.0
2026-08-20T21:39:48+00:00,GWPROT_001,Papers\05-GWProt,recovered,False,EXECUTION_REQUIRED — gate blocked: A high-severity execution_gap (the native ',996351,0.2855,yes,0.0
2026-08-20T21:39:48+00:00,GWPROT_002,Papers\05-GWProt,recovered,True,4,170842,0.0556,yes,0.0
